법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
석사동,7**,애막골길7번길,단독,26.5,-,11/28,-,-,"4,000",0,-,-,
석사동,7**,우석로38번길,다가구,30,-,11/26,-,-,"4,500",0,-,-,
석사동,8**,새롬공원길9번길,다가구,25,-,11/25,-,-,"3,600",0,-,-,
석사동,9**,스무숲1길,다가구,33,-,11/24,-,-,"5,000",0,-,-,
석사동,9**,안마산로,단독,33,-,11/24,-,-,300,29,-,-,
석사동,7**,애막골길16번길,단독,53.46,-,11/23,-,-,"6,500",0,-,-,
석사동,8**,새롬공원길9번길,다가구,48.81,신규,11/22,22.01-24.01,-,"8,000",0,-,-,
석사동,8**,,다가구,48.81,-,11/22,-,-,"8,000",0,-,-,
석사동,8**,새롬공원길9번길,다가구,48.81,-,11/22,-,-,"8,000",0,-,-,
석사동,7**,애막골길,다가구,24,-,11/21,-,-,"3,000",0,-,-,
석사동,6**,,단독,23,-,11/20,-,-,"2,000",5,-,-,
석사동,7**,벌말길47번길,다가구,60.79,신규,11/20,21.11-23.11,-,"7,000",0,-,-,
석사동,6**,후석로,다가구,49,-,11/20,-,-,300,30,-,-,
석사동,8**,새롬공원길5번길,단독,49,신규,11/18,21.11-23.11,-,500,45,-,-,
석사동,6**,벌말길,단독,66,-,11/18,-,-,800,30,-,-,
석사동,9**,스무숲4길,다가구,21,-,11/17,-,-,"5,000",0,-,-,
석사동,6**,,다가구,16.24,-,11/17,-,-,"2,000",10,-,-,
석사동,9**,스무숲1길,다가구,30,신규,11/16,21.12-22.12,-,300,34,-,-,
석사동,9**,스무숲1길,다가구,23,-,11/16,-,-,"4,000",0,-,-,
석사동,8**,새롬공원길5번길,단독,33,신규,11/16,21.11-22.11,-,300,40,-,-,
석사동,4**,후석로,단독,33,신규,11/16,21.11-23.11,-,300,40,-,-,
석사동,6**,후석로59번길,다가구,40,신규,11/15,21.11-23.11,-,500,35,-,-,
석사동,6**,벌말길,단독,42.9,-,11/15,-,-,300,25,-,-,
석사동,7**,우석로,단독,60,-,11/13,-,-,"5,500",0,-,-,
석사동,6**,벌말길,단독,59.5,-,11/07,-,-,"5,000",0,-,-,
석사동,9**,스무숲1길,다가구,30,-,11/07,-,-,"5,500",0,-,-,
석사동,7**,우석로79번길,다가구,28,-,11/06,-,-,100,26,-,-,
석사동,7**,우석로,다가구,28,-,11/04,-,-,"4,800",0,-,-,
석사동,8**,새롬공원길9번길,다가구,56.29,-,11/03,-,-,"8,000",0,-,-,
석사동,8**,새롬공원길9번길,단독,56.29,-,11/03,-,-,"8,000",0,-,-,
석사동,6**,벌말길47번길,다가구,60,-,11/02,-,-,"3,000",0,-,-,
석사동,7**,우석로,단독,110,신규,11/02,21.12-23.12,-,"16,000",0,-,-,
