매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그,중개 플랫폼,중개사,등록일
원룸,일반원룸,강원도 춘천시 석사동 291-19,월세300/38,27/27m²,1/3층,북서향,"25년이내, 융자금적은, 1층",피터팬의 좋은방구하기 제공,,
아파트,세경5차 508동,,"월세1,000/50",65/48m²,4/5층,남향,,부동산써브 제공,맛동산부동산공인중개사사무소,
단독/다가구,다가구,강원도 춘천시 석사동 843-10,월세500/48,-/50m²,3/4층,북동향,"15년이내, 방두개, 화장실한개, 고층",부동산뱅크 제공,천승주부동산공인중개사사무소,
단독/다가구,다가구,강원도 춘천시 석사동 946-3,월세300/30,-/33m²,2/3층,남서향,"25년이내, 방한개, 화장실한개, 중층",부동산뱅크 제공,천승주부동산공인중개사사무소,
아파트,근로복지(석사) 110동,,월세500/40,58A/46m²,2/5층,남향,,부동산써브 제공,미래로공인중개사,
원룸,일반원룸,강원도 춘천시 석사동 923-1,"전세5,500",-/33m²,2/4층,남서향,"25년이내, 방한개, 화장실한개, 중층",부동산뱅크 제공,천승주부동산공인중개사사무소,
원룸,일반원룸,강원도 춘천시 석사동 940-2,월세300/30,36/36m²,2/3층,동향,"25년이내, 화장실한개, 소형평수, 방한개",부동산써브 제공,천승주부동산공인중개사사무소,
단독/다가구,다가구,강원도 춘천시 석사동 940-2,월세300/30,-/33m²,2/3층,남동향,"25년이내, 방한개, 화장실한개, 중층",부동산뱅크 제공,천승주부동산공인중개사사무소,
원룸,일반원룸,강원도 춘천시 석사동 946-3,월세300/30,36/36m²,2/3층,남동향,"25년이내, 융자금없는, 소형평수, 방한개",부동산써브 제공,천승주부동산공인중개사사무소,
원룸,일반원룸,강원도 춘천시 석사동 928-2,월세300/35,-/30m²,2/3층,북향,"25년이내, 화장실한개, 방한개, 중층",매경부동산 제공,봄부동산 공인중개사사무소,
원룸,일반원룸,강원도 춘천시 석사동 843-10,월세300/35,30/30m²,2/4층,남향,"15년이내, 융자금없는, 화장실한개, 소형평수",부동산써브 제공,천승주부동산공인중개사사무소,
단독/다가구,다가구,강원도 춘천시 석사동 942-2,월세500/60,50/50m²,2/4층,남동향,"15년이내, 소형평수, 방두개, 화장실한개",부동산써브 제공,천승주부동산공인중개사사무소,
원룸,일반원룸,강원도 춘천시 석사동 302-4,월세200/30,23/23m²,중/3층,남서향,"25년이내, 융자금없는, 화장실한개",부동산114 제공,,
원룸,일반원룸,강원도 춘천시 석사동 923-1,"전세5,500",34/34m²,2/4층,남향,"25년이내, 소형평수, 방한개, 화장실한개",부동산써브 제공,천승주부동산공인중개사사무소,
원룸,일반원룸,강원도 춘천시 석사동 654-14,월세200/20,-/22m²,1/3층,북향,"25년이상, 1층, 화장실한개",부동산뱅크 제공,유진공인중개사사무소,
단독/다가구,다가구,강원도 춘천시 석사동 843-10,월세300/35,33/33m²,2/4층,남향,"15년이내, 소형평수, 방한개, 화장실한개",부동산뱅크 제공,천승주부동산공인중개사사무소,
원룸,일반원룸,강원도 춘천시 석사동 669-8,월세400/40,95/47m²,B1/2층,남향,"25년이상, 방두개, 화장실한개",매경부동산 제공,럭키공인중개사사무소,
아파트,근로복지(석사) 108동,,"월세1,000/50",58A/46m²,5/5층,남향,,부동산써브 제공,미래로공인중개사,
아파트,근로복지(석사) 107동,,전세1억,58B/47m²,5/5층,남향,,부동산써브 제공,춘천愛(애)부동산공인중개사사무소,
원룸,일반원룸,강원도 춘천시 석사동 840-8,월세300/25,22/22m²,고/3층,북동향,"25년이내, 화장실한개, 소형평수",부동산114 제공,,
단독/다가구,다가구,강원도 춘천시 석사동 643-12,월세200/25,-/33m²,2/2층,남동향,"25년이상, 방한개, 화장실한개, 고층",부동산뱅크 제공,천승주부동산공인중개사사무소,
원룸,일반원룸,강원도 춘천시 석사동 656-11,"전세2,500",-/25m²,2/3층,남서향,"25년이상, 화장실한개, 방한개, 중층",부동산써브 제공,,
단독/다가구,다가구,강원도 춘천시 석사동 740-11,"전세8,000",46/40m²,3/4층,남서향,"25년이내, 소형평수, 방두개",부동산써브 제공,소양강부동산공인중개사사무소,
단독/다가구,다가구,강원도 춘천시 석사동 902-3,월세300/28,-/28m²,3/4층,남동향,"25년이내, 방한개, 화장실한개, 고층",부동산뱅크 제공,천승주부동산공인중개사사무소,
아파트,근로복지(석사) 109동,,"전세1억 1,000",58B/47m²,4/5층,남서향,,부동산써브 제공,왕공인중개사사무소,
원룸,일반원룸,강원도 춘천시 석사동 313-20,월세200/30,26/26m²,1/3층,서향,"25년이상, 1층, 세대분리, 화장실한개",,,
원룸,일반원룸,강원도 춘천시 석사동 313-18,월세200/29,24/24m²,2/3층,남향,"25년이상, 융자금적은, 화장실한개, 소형평수",,,
단독/다가구,다가구,강원도 춘천시 석사동 698-11,월세500/40,43/43m²,2/2층,북서향,"25년이상, 소형평수, 방두개, 화장실한개",도담부동산공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 석사동 951-7,월세300/30,30/30m²,2/3층,남서향,"25년이내, 소형평수, 방한개, 화장실한개",만나부동산공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 석사동 919-9,"전세5,000",30/30m²,2/3층,남동향,"15년이내, 융자금적은, 소형평수, 방한개",삼성공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 석사동 834-8,월세300/30,16/22m²,3/4층,동향,"25년이내, 융자금없는, 소형평수, 방한개",,,
원룸,일반원룸,강원도 춘천시 석사동 838-2,"전세3,800",22/22m²,3/4층,동향,"25년이내, 융자금적은, 소형평수, 방한개",,,
원룸,일반원룸,강원도 춘천시 석사동 830-2,월세300/30,22/22m²,2/3층,동향,"25년이내, 융자금없는, 소형평수, 방한개",,,
원룸,일반원룸,강원도 춘천시 석사동 834-2,"전세5,000",33/33m²,2/3층,서향,"15년이내, 소형평수, 방한개, 화장실한개",,,
원룸,일반원룸,강원도 춘천시 석사동 902-3,월세300/28,25/25m²,3/4층,북서향,"25년이내, 소형평수, 방한개, 화장실한개",,,
원룸,일반원룸,강원도 춘천시 석사동 313-20,"전세5,000",26/26m²,1/3층,북서향,"25년이상, 융자금없는, 1층, 세대분리",,,
아파트,근로복지(석사) 107동,,전세1억,58B/47m²,5/5층,남향,,진영부동산공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 석사동 830-1,"전세5,000",26/26m²,3/4층,북동향,"25년이내, 융자금적은, 화장실한개, 소형평수",,,
원룸,일반원룸,강원도 춘천시 석사동 302-1,월세300/26,24/24m²,1/3층,북동향,"25년이내, 융자금적은, 1층, 화장실한개",,,
원룸,일반원룸,강원도 춘천시 석사동 310-13,월세200/24,23/23m²,2/3층,동향,"25년이상, 융자금없는, 화장실한개, 소형평수",,,
원룸,일반원룸,강원도 춘천시 석사동 830-1,월세300/35,34/30m²,3/4층,서향,"25년이내, 융자금적은, 화장실한개, 소형평수",,,
원룸,일반원룸,강원도 춘천시 석사동 108-8,월세300/35,25/25m²,2/3층,서향,"15년이내, 융자금적은, 복층, 화장실한개",,,
