매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그,중개 플랫폼,중개사,등록일
아파트,세경5차 502동,,전세1억,65/48m²,4/5층,남향,,오빵 후평동 공인중개사 사무소,,
원룸,일반원룸,강원도 춘천시 석사동 310-13,월세200/24,23/23m²,2/3층,남향,"25년이상, 융자금없는, 화장실한개, 소형평수",,,
단독/다가구,다가구,강원도 춘천시 석사동 915-2,월세500/40,32/32m²,2/3층,북서향,"25년이내, 소형평수, 방한개, 화장실한개",도담부동산공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 석사동 834-11,"전세3,700",22/22m²,3/4층,서향,"25년이내, 융자금적은, 소형평수, 방한개",,,
아파트,근로복지(석사) 107동,,전세1억,58B/47m²,5/5층,남향,,진영부동산공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 석사동 838-2,"전세3,600",22/22m²,3/4층,동향,"25년이내, 융자금적은, 소형평수, 방한개",,,
원룸,일반원룸,강원도 춘천시 석사동 834-2,"전세5,000",33/33m²,2/3층,서향,"15년이내, 소형평수, 방한개, 화장실한개",,,
원룸,일반원룸,강원도 춘천시 석사동 940-6,월세200/25,30/27m²,2/3층,북서향,"25년이내, 융자금적은, 화장실한개, 소형평수",,,
원룸,일반원룸,강원도 춘천시 석사동 921-3,월세300/32,30/27m²,2/4층,남향,"15년이내, 세대분리, 소형평수, 방한개",,,
원룸,일반원룸,강원도 춘천시 석사동 830-2,월세300/30,22/22m²,2/3층,동향,"25년이내, 융자금없는, 소형평수, 방한개",,,
원룸,일반원룸,강원도 춘천시 석사동 708-7,월세100/20,30/25m²,1/3층,남동향,"25년이상, 융자금없는, 1층, 화장실한개",,,
원룸,일반원룸,강원도 춘천시 석사동 942-2,월세300/40,36/36m²,2/4층,남서향,"25년이내, 화장실한개, 소형평수, 방한개",천승주공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 석사동 923-1,"전세5,500",36/33m²,2/3층,남서향,"25년이내, 소형평수, 방한개, 화장실한개",천승주공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 석사동 911-5,월세200/28,35/28m²,1/3층,남동향,"25년이내, 융자금없는, 1층, 소형평수",,,
원룸,일반원룸,강원도 춘천시 석사동 919-9,월세300/30,30/30m²,4/4층,남향,"15년이내, 융자금없는, 소형평수, 방한개",삼성공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 석사동 834-8,월세300/30,16/22m²,3/4층,동향,"25년이내, 융자금없는, 소형평수, 방한개",,,
원룸,일반원룸,강원도 춘천시 석사동 108-8,월세300/35,25/25m²,2/3층,서향,"15년이내, 융자금적은, 복층, 화장실한개",한국공인중개사협회,제공교대부동산공인중개사사무소
