매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그,중개 플랫폼,중개사,등록일
원룸,일반원룸,강원도 춘천시 효자동 603-6,월세300/47,42/30m²,2/4층,남서향,"15년이내, 소형평수, 방한개, 화장실한개",부동산써브 제공,정은부동산공인중개사사무소,
단독/다가구,단독,강원도 춘천시 효자동 712-23,"전세2억 6,000",284/36m²,1/-층,남서향,"25년이상, 마당, 방두개",부동산뱅크 제공,유진공인중개사사무소,
원룸,일반원룸,강원도 춘천시 효자동 175-25,월세200/30,23/22m²,2/3층,동향,"25년이내, 화장실한개, 소형평수, 방한개",부동산써브 제공,황소부동산공인중개사사무소,
아파트,동보 103동,강원도 춘천시 효자동 821,월세300/40,47/28m²,13/13층,남서향,,부동산써브 제공,,
단독/다가구,다가구,강원도 춘천시 효자동 397-15,월세500/40,-/33m²,2/4층,남동향,"10년이내, 방두개, 화장실한개, 중층",부동산뱅크 제공,천승주부동산공인중개사사무소,
아파트,동보 103동,강원도 춘천시 효자동 821,월세300/35,47/28m²,10/13층,남동향,,부동산써브 제공,미래로공인중개사,
오피스텔,더베네치아스위트(생활숙박시설) 1동,강원도 춘천시 효자동 651,월세500/50,39B/23m²,15/15층,남서향,,부동산써브 제공,오렌지부동산공인중개사,
원룸,일반원룸,강원도 춘천시 효자동 325-21,월세200/27,20/16m²,2/3층,남향,"25년이상, 융자금없는, 소형평수",부동산써브 제공,황소부동산공인중개사사무소,
원룸,일반원룸,강원도 춘천시 효자동 623-20,"전세4,000",-/18m²,1/4층,남서향,"10년이내, 융자금없는, 1층",부동산뱅크 제공,유진공인중개사사무소,
원룸,일반원룸,강원도 춘천시 효자동 743-5,월세300/32,-/30m²,B1/3층,북서향,"25년이내, 화장실한개, 방한개",부동산뱅크 제공,이화공인중개사사무소,
원룸,일반원룸,강원도 춘천시 효자동 44-27,"전세6,500",-/30m²,4/4층,남동향,"10년이내, 화장실한개, 방한개, 고층",부동산뱅크 제공,이화공인중개사사무소,
원룸,일반원룸,강원도 춘천시 효자동 767-23,월세300/35,23/23m²,2/3층,동향,"25년이상, 융자금없는, 소형평수",부동산뱅크 제공,강원부동산공인중개사사무소,
원룸,일반원룸,강원도 춘천시 효자동 114-55,월세100/25,22/22m²,1/3층,남향,"25년이상, 융자금적은, 1층",부동산114 제공,,
단독/다가구,다가구,강원도 춘천시 효자동 600,"전세4,000",30/30m²,1/3층,남동향,"25년이상, 융자금적은, 1층, 소형평수",,,
단독/다가구,다가구,강원도 춘천시 효자동 600,월세200/30,30/30m²,3/3층,남향,"25년이상, 융자금적은, 세대분리, 소형평수",,,
단독/다가구,다가구,강원도 춘천시 효자동 603-5,월세100/32,17/15m²,2/5층,북동향,"25년이상, 소형평수, 방한개, 화장실한개",,,
원룸,일반원룸,강원도 춘천시 효자동 758-9,월세600/52,35/33m²,3/4층,남동향,"10년이내, 화장실한개, 소형평수, 방한개",왕공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 효자동 603-6,월세300/47,40/30m²,2/4층,남향,"15년이내, 융자금없는, 소형평수, 방한개",,,
원룸,일반원룸,강원도 춘천시 효자동 705-15,월세500/40,30/30m²,5/5층,남향,"15년이내, 화장실한개, 소형평수, 방한개",진영부동산공인중개사사무소,,
아파트,동보 103동,강원도 춘천시 효자동 821,"월세1,000/25",47/28m²,6/13층,동향,,,,
아파트,동보 103동,강원도 춘천시 효자동 821,월세300/35,47/28m²,10/13층,남동향,,미래로공인중개사사무소,,
아파트,동보 102동,강원도 춘천시 효자동 821,"전세5,200",47/28m²,6/12층,동향,,,,
단독/다가구,다가구,강원도 춘천시 효자동 569-9,"전세8,500",45/45m²,2/3층,북동향,"10년이내, 화장실한개, 소형평수, 방한개",,,
단독/다가구,다가구,강원도 춘천시 효자동 569-9,월세33/18,45/45m²,2/3층,북동향,"10년이내, 융자금없는, 소형평수, 방한개",,,
원룸,일반원룸,강원도 춘천시 효자동 754-5,월세300/42,30/30m²,3/4층,서향,"10년이내, 세대분리, 소형평수, 화장실한개",유진공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 효자동 44-20,월세200/37,18/18m²,2/3층,남서향,"25년이상, 화장실한개, 소형평수, 방한개",유진공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 효자동 767-3,월세300/36,36/30m²,4/5층,남동향,"10년이내, 융자금없는, 세대분리, 소형평수",,,
원룸,일반원룸,강원도 춘천시 효자동 758-20,월세50/15,17/17m²,1/2층,남동향,"25년이상, 1층, 소형평수, 방한개",유진공인중개사사무소,,
아파트,동보 101동,강원도 춘천시 효자동 821,월세500/50,61/37m²,5/13층,북서향,,,,
원룸,일반원룸,강원도 춘천시 효자동 397-15,월세500/50,40/35m²,2/4층,남동향,"10년이내, 소형평수, 화장실한개, 방한개",,,
원룸,일반원룸,강원도 춘천시 효자동 443-9,월세300/38,28/28m²,2/4층,북동향,"10년이내, 소형평수, 화장실한개, 방한개",강대부동산공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 효자동 129-169,월세300/42,33/30m²,4/4층,남서향,"10년이내, 화장실한개, 소형평수, 방한개",,,
원룸,일반원룸,강원도 춘천시 효자동 18-28,"전세5,500",30/27m²,2/3층,남동향,"25년이내, 융자금없는, 소형평수, 화장실한개",,,
원룸,일반원룸,강원도 춘천시 효자동 751-16,월세300/30,27/24m²,3/4층,남서향,"15년이내, 화장실한개, 소형평수, 방한개",,,
오피스텔,더베네치아스위트(생활숙박시설) 1동,강원도 춘천시 효자동 651,"월세1,000/50",35A/20m²,11/15층,남동향,,,,
원룸,일반원룸,강원도 춘천시 효자동 590-50,월세300/45,28/28m²,2/4층,서향,"10년이내, 융자금적은, 소형평수, 화장실한개",강대부동산공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 효자동 757-2,월세100/50,17/17m²,1/2층,동향,"25년이상, 1층, 소형평수, 방한개",그랜드공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 효자동 129-1,월세300/40,25/25m²,2/4층,동향,"10년이내, 융자금없는, 소형평수, 화장실한개",강대부동산공인중개사사무소,,
단독/다가구,다가구,강원도 춘천시 효자동 176-11,"전세2,000",15/15m²,1/1층,서향,"25년이상, 1층, 소형평수, 방한개",,,
단독/다가구,다가구,강원도 춘천시 효자동 613-7,"전세4,000",20/20m²,1/3층,남서향,"25년이내, 1층, 소형평수, 방한개",,,
단독/다가구,다가구,강원도 춘천시 효자동 650-2,"전세7,500",30/27m²,2/4층,남동향,"10년이내, 세대분리, 소형평수, 방한개",,,
원룸,일반원룸,강원도 춘천시 효자동 176-11,"전세5,000",35/35m²,1/1층,남동향,"25년이상, 융자금적은, 1층, 세대분리",,,
